cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1,JMETJM,JMU1,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
241,237,Petição Cível,,,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,,,
242,237,Comunicação,,,,X,,,,,X,,,,,,,,,,,,,,
244,62,Reclamação,,,,X,,,X,,X,,,X,,,X,,,,,,,,
251,237,Registro de Casamento Nuncupativo,,,X,,,,,,,,,,,,,,,,,,,,
256,1198,Representação por Excesso de Prazo,,X,,X,,,,,X,,,,,,X,,X,,X,X,X,X,
257,214,Cartas,,,X,X,X,X,X,X,X,X,,,,X,X,,,X,X,X,,,
258,257,Carta de Ordem Cível,,,X,X,X,X,X,X,X,,,,,X,X,,,X,X,,,,
261,257,Carta Precatória Cível,,,X,X,X,X,X,X,X,X,,,,X,X,,,X,X,,,,
264,257,Carta Rogatória Cível,,,,,,,,X,,,,,,X,X,,,X,X,X,,,
268,,PROCESSO CRIMINAL ,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X
269,268,Medidas Preparatórias,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
270,269,Notícia-Crime,,,X,X,,X,,X,X,,,,,,,,,,,,,,
271,277,Representação Criminal,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
272,271,Representação Criminal/Notícia de Crime,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
273,271,Pedido de Arquivamento em Representação Criminal,,,X,X,,X,,X,X,,,,,,,,,,,,,,
274,269,Interpelações,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
275,274,Notificação para Explicações,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
276,274,Notificação para Explicações (Lei de Imprensa),,,X,X,,,,X,X,,,,,,,,,,,,,,
277,268,Procedimentos Investigatórios,,,X,X,,X,,X,X,X,,,,X,X,X,X,,,,X,X,
278,277,Termo Circunstanciado,,,X,X,,X,,,X,X,,,,X,X,X,X,,,,,,
279,277,Inquérito Policial,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
280,277,Auto de Prisão em Flagrante,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
281,268,Procedimento Comum,,,X,X,,X,,X,X,X,,,,,,,,,,,X,,
282,281,Ação Penal de Competência do Júri,,,X,X,,,,X,,,,,,,,,,,,,X,,
283,281,Ação Penal - Procedimento Ordinário,,,X,X,,,,X,X,,,,,,,,,,,,,,
284,268,Processo Especial,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X
285,284,Processo Especial do Código de Processo Penal,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,
287,285,Crimes de Responsabilidade dos Funcionários Públicos,,,X,X,,X,,X,,,,,,,,,,,,,,,
288,285,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",,,X,X,,X,,X,,X,,,,,,,,,,,,,
289,285,Crimes Contra a Propriedade Imaterial,,,X,X,,X,,X,,,,,,,,,,,,,,,
290,285,Processo Sumário (Detenção),,,X,X,,,,X,,,,,,,,,,,,,,,
291,285,Restauração de Autos Criminal,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
292,284,Processo Especial de Leis Esparsas,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
293,292,Crimes Ambientais,,,X,X,,X,,X,X,X,,,,,,X,X,,,,,,
294,292,Crimes Contra a Propriedade Industrial,,,X,X,,X,,,,,,,,,,,,,,,,,
295,292,Crimes Contra a Propriedade Intelectual,,,X,X,,X,,,,,,,,,,,,,,,,,
297,292,Crimes de Imprensa,,,X,X,,X,,X,,,,,,,,,,,,,,,
299,292,Procedimento do Juizado Especial Criminal - Sumariíssimo,,,,,,X,,,,X,,,,,,,,,,,,,
300,292,Procedimento Especial da Lei Antitóxicos,,,X,X,,X,,X,,,,,,,,,,,,,,,
302,292,Procedimento Especial dos Crimes de Abuso de Autoridade,,,X,X,,X,,,,X,,,,,,,,,,,,,
303,268,Medidas Garantidoras,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,,,
304,303,Liberdade,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
305,304,Liberdade Provisória com ou sem fiança,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
306,304,Relaxamento de Prisão,,,X,X,,X,,,,,,,,X,X,X,X,,,,,,
307,303,Habeas Corpus Criminal,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,,,
308,268,Medidas Cautelares,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,X,X,
309,308,Pedido de Busca e Apreensão Criminal,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
310,308,Pedido de Quebra de Sigilo de Dados e/ou Telefônico,,,X,X,,X,,X,X,X,,,,X,X,X,X,,,,X,X,
311,308,Medidas Investigatórias Sobre Organizações Criminosas,,,X,X,,,,X,,,,,,X,X,X,X,,,,,,
312,308,Pedido de Prisão,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
313,312,Pedido de Prisão Preventiva,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
314,312,Pedido de Prisão Temporária,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
315,312,Pedido de Prisão/ Liberdade Vigiada para Fins de Expulsão,,,,,,,,X,,,,,,,,,,,,,,,
316,268,Questões e Processos Incidentes,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
317,316,Exceções,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
318,317,Exceção de Suspeição,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
319,317,Exceção de Incompetência de Juízo,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
320,317,Exceção de Litispendência,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
321,317,Exceção de Ilegitimidade de Parte,,,X,X,,X,X,X,X,,,,,,,,,,,,,,
322,317,Exceção de Coisa Julgada,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
323,317,Exceção de Impedimento,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
324,317,Exceção da Verdade,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
325,331,Conflito de Jurisdição,,,,X,,,X,,X,,,X,,,X,,X,,,,,,
326,316,Restituição de Coisas Apreendidas,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,X,X,
327,316,Embargos de Terceiro Criminal,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
328,316,Medidas Assecuratórias,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
329,328,Seqüestro,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
330,328,Arresto / Hipoteca Legal,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
331,316,Incidentes,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
332,331,Incidente de Falsidade,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
333,331,Insanidade Mental do Acusado,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
334,268,Cartas,,,X,X,,X,X,X,X,X,,,,X,X,X,X,,,,,,
335,334,Carta de Ordem Criminal,,,X,X,,X,X,X,X,,,,,X,X,X,X,,,,,,
355,334,Carta Precatória Criminal,,,X,X,,X,X,X,X,X,,,,X,X,X,,,,,,,
375,334,Carta Rogatória Criminal,,,,,,,,X,,,,,,,,,,,,,,,
