cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
853,218,Conversão de Agravo de Instrumento em Recurso Especial ou Extraordinário,,,,,,,,,,,,,,,,,,,,,X,X,
861,48,Arquivamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
865,14,Arquivista,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
866,865,Guarda Intermediária,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X
867,865,Guarda Permanente,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
869,865,Entrega definitiva dos autos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
870,865,Autos Eliminados,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X
871,385,Acolhimento em parte de Embargos de Declaração,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X
873,48,Deliberação em Sessão,X,X,X,,X,,,X,,X,,X,X,X,X,X,X,,X,X,X,X,X
884,385,Transação Penal,,,,,,X,X,,,,X,,,X,X,,,,,,,X,
888,3,Concessão em parte,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
889,888,Tutela Provisória,,,,X,X,,,,X,X,,,,X,X,X,X,X,X,X,X,X,
892,888,Liminar,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
893,48,Desarquivamento,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
897,48,Retirada de pauta,X,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
898,25,Por decisão judicial,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
900,385,Declaração de competência em conflito,X,,,X,,X,X,,X,X,X,,,,X,,X,X,,X,,,
901,385,Negação de seguimento,,,,,X,,,,,X,,,,X,,X,,,X,X,X,X,
905,113,"de estrangeiro para deportação, expulsão ou extradição",,,,,,,,,X,,,,,,,,,,,,,,
928,48,Republicação,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
940,133,Impedimento ou Suspeição,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
941,11,Incompetência,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
944,378,Desistência de Recurso,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
945,157,Decisão anterior,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
947,25,Por pendência de AIREsp,,,,,X,,,,,X,,,,X,,,,,,,X,X,
960,25,Conflito de Competência,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
961,3,Suscitação de Conflito de Competência,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
968,3,Não-Concessão,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
970,48,Audiência,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
971,25,Exceção da Verdade,,,,X,X,,,,X,X,,,,,,,,,,,,,
972,385,Provimento (art. 557 do CPC),,,X,,X,,,,,X,,X,X,X,,,,,X,X,X,X,
973,385,Extinção da Punibilidade ou da Pena,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
977,865,Recebimento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
978,865,Remessa,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
979,15,Recebimento,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
980,15,Remessa,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
981,18,Recebimento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
982,18,Remessa,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
985,115,Mandado,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
987,115,Ofício,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
988,817,Permissão de saída,,,,X,X,,,,X,X,,,,X,X,,X,,,,,X,
990,817,Direito de visita,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1002,817,Progressão de regime,,,,X,X,,,,X,X,,,,X,X,,X,,,,,X,
