Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,CNJ
11907,10370,,,2012-06-06 00:00:00,,,,Prova Oral,X
11906,10370,,,2012-06-06 00:00:00,,,,Prova Prática-Sentença,X
11905,10370,,,2012-06-06 00:00:00,,,,Prova Subjetiva,X
11908,10370,,,2012-06-06 00:00:00,,,,Reserva de Vagas,X
10371,10370,"CF, Lei 8112/90","CF, art. 37, VIII; Lei 8112/90, art. 5º, § 2º",2008-09-30 15:52:52,2022-11-29 15:41:10,,,Reserva de Vagas para Pessoas com Deficiência,X
14202,9985,"Lei 13,709/2018",1º,2021-01-20 00:00:00,,,,Lei Geral de Proteção de Dados (LGPD),X
14204,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Privacidade,X
14203,14202,Lei 13.709/2018,1º,2021-01-20 00:00:00,,,,Proteção de Dados Pessoais,X
10385,9985,L 8.666/1993,,2008-09-30 15:52:52,,,,Licitações ,X
10388,10385,Lei 8.666/93,21,2008-09-30 15:52:52,,,,Edital,X
10954,9985,,,2008-09-30 15:52:52,,,,Orçamento,X
11897,10954,,,2012-06-06 00:00:00,,,,Crédito Especial,X
11898,10954,,,2012-06-06 00:00:00,,,,Crédito Extraordinário,X
10958,10954,CF,"art. 165, § 8º",2008-09-30 15:52:52,,,,Crédito Suplementar,X
10157,9985,,,2008-09-30 15:52:52,,,,Organização Político-administrativa / Administração Pública,X
10868,10157,,,2008-09-30 15:52:52,,,,Criação / Extinção / Reestruturação de Orgãos ou Cargos Públicos,X
9991,9985,L 8.666/1993,,2008-09-30 15:52:52,,,,Responsabilidade da Administração,X
9992,9991,CF,"art. 5º, V, X",2008-09-30 15:52:52,,,,Indenização por Dano Moral,X
14175,9992,CF,"37, § 6º",2021-01-18 00:00:00,,,,Assédio Moral,X
10028,9985,,,2008-09-30 15:52:52,,,,Serviços,X
10073,10028,Leis 8666/93; 8987/95; 11079/04,,2008-09-30 15:52:52,,,,Concessão / Permissão / Autorização,X
10083,10073,Lei 8935/94,art. 3º,2008-09-30 15:52:52,,,,"Tabelionatos, Registros, Cartórios",X
11928,10083,,,2012-06-06 00:00:00,,,,Cumulação,X
11927,10083,,,2012-06-06 00:00:00,,,,Desmembramento,X
11929,10083,,,2012-06-06 00:00:00,,,,Emolumentos,X
11930,10083,,,2012-06-06 00:00:00,,,,Fraude,X
11931,10083,,,2012-06-06 00:00:00,,,,Gratuidade,X
11932,10083,,,2012-06-06 00:00:00,,,,Princípio da Territorialidade,X
11933,10083,,,2012-06-06 00:00:00,,,,Provimento Irregular,X
11934,10083,,,2012-06-06 00:00:00,,,,Registro Civil de Nascimento,X
11935,10083,,,2012-06-06 00:00:00,,,,Registro de Imóveis,X
11926,10083,,,2012-06-06 00:00:00,,,,Remoção,X
11925,10083,,,2012-06-06 00:00:00,,,,Vacância,X
10219,9985,,,2008-09-30 15:52:52,,,,Servidor Público Civil,X
10254,10219,CF1988,40,2008-09-30 15:52:52,,,,Aposentadoria,X
10287,10219,Lei 8112/90,19,2008-09-30 15:52:52,,,,Jornada de Trabalho,X
13186,10287,,,2020-11-04 00:00:00,,,,Horas Extras ,X
13209,10287,,,2020-11-04 00:00:00,,,,Intervalo ,X
10258,10219,,,2008-09-30 15:52:52,,,,Licenças / Afastamentos,X
10263,10258,L 8.112/1990,"102, VIII, b",2008-09-30 15:52:52,,,,Tratamento da Própria Saúde,X
10250,10219,,,2008-09-30 15:52:52,,,,Pensão,X
13295,10250,,,2020-11-04 00:00:00,,,,Revisão ,X
10279,10219,,,2008-09-30 15:52:52,,,,Processo Administrativo Disciplinar ou Sindicância,X
